鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
沙鹿區,房地(土地+建物),臺中市沙鹿區中清路八段４９６號,196.33,住,,,1131205,土地11建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,790905,309.98,6,3,3,有,有,16000000,51616,,0,0,,RPROMLPLJHJGFFB97DA,268.86,23.28,17.84,無,
沙鹿區,房地(土地+建物),臺中市沙鹿區福成路１３０巷２１號,95.34,住,,,1131230,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,900711,183.28,4,3,3,有,無,11880000,64819,,0,0,其他增建；,RPPOMLKLKHJGFFB37DA,183.28,0,0,無,
霧峰區,房地(土地+建物),臺中市霧峰區新生路７號六樓之２,29.77,商,,,1130707,土地3建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041208,150.64,4,1,4,有,有,6900000,45805,,0,0,,RPXNMLOJLHJGFIB68DA,90.59,0,8.99,有,
東勢區,土地,新合作段380地號,427.25,都市：其他:道路用地,,,1130305,土地2建物0車位0,,,其他,,,,0,0,0,0,無,無,1421000,3326,,0,0,道路用地包含公共設施保留地用地；,RPPNMLPJLHJGFGB77DA,0,0,0,無,1
沙鹿區,房地(土地+建物),臺中市沙鹿區臺灣大道七段４１７巷６號,76.14,住,,,1130213,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,691230,118.15,2,2,2,有,無,7000000,59247,,0,0,,RPPNMLKKJHJGFFB07DA,118.15,0,0,無,
外埔區,土地,新六分段779地號,2761.42,,特定農業區,農牧用地,1130201,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,6000000,2173,,0,0,賣方原有臺中市外埔區農會抵押權設定之未償債務，買方同意並承受賣方原有債務。親友、員工、共有人或其他特殊關係間之交易；,RPRNMLPJKHJGFEB67DA,0,0,0,無,
北屯區,土地,大昌段940地號,179.48,住,,,1130201,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,3600000,20058,,0,0,,RPTOMLMJKHJGFBB37DA,0,0,0,無,2
霧峰區,房地(土地+建物),臺中市霧峰區復興路二段１２６巷３７號,89.38,,山坡地保育區,丙種建築用地,1130205,土地3建物1車位0,全,二層,透天厝,住商用,加強磚造,661230,109.02,3,2,2,有,無,4560000,41827,,0,0,,RPPNMLPKKHJGFIB08EA,109.02,0,0,無,3
清水區,土地,銀聯段1971-9地號,6,住,,,1130203,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,100000,16667,,0,0,,RPTNOLPKKHJGFFB28DA,0,0,0,無,
梧棲區,土地,梧棲段11地號,185,住,,,1130204,土地4建物0車位0,,,其他,,,,0,0,0,0,無,無,4017131,21714,,0,0,本標的為袋地並已套繪在案.,RPQNMLQKKHJGFFB87DA,0,0,0,無,
太平區,土地,聖和段217地號,119.56,,山坡地保育區,農牧用地,1130205,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,434000,3630,,0,0,,RPRNMLQKKHJGFJB38DA,0,0,0,無,4
龍井區,土地,龍崗段1210地號,24,住,,,1130204,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,377520,15730,,0,0,,RPPNMLPKKHJGFKB18DA,0,0,0,無,5
東區,房地(土地+建物),臺中市東區大智路４１７號,87,住,,,1130202,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,620125,208.56,6,3,4,有,無,19000000,91101,,0,0,頂樓加蓋；其他增建；,RPPOMLMJKHJGFAB86DA,208.56,0,0,無,
外埔區,土地,下土城段557地號,880.39,,特定農業區,農牧用地,1130204,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,4500000,5111,,0,0,,RPPNMLOJKHJGFEB37DA,0,0,0,無,6
中區,房地(土地+建物),臺中市中區自由路二段９－７－２號,5.43,商,,,1130201,土地3建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,660719,41.16,1,0,1,有,有,2630000,63897,,0,0,,RPRNMLSKKHJGFAB67DA,41.16,0,0,有,7
西屯區,土地,廣福段137地號,11.78,都市：其他:道路用地,,,1130205,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,402191,34142,,0,0,包含公共設施保留地用地；,RPTPMLKLKHJGFCB57DA,0,0,0,無,8
后里區,土地,中和東段398地號,5.09,住,,,1130203,土地2建物0車位0,,,其他,,,,0,0,0,0,無,無,216000,42436,,0,0,未登記建物；,RPSOMLPKKHJGFDB87DA,0,0,0,無,9
梧棲區,土地,南簡段1275地號,103.33,住,,,1130207,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,4500000,43550,,0,0,總價新台幣450萬.簽約款新台幣伍拾萬元整.113年4月10日起每月付新台幣壹拾萬元整.分40期付清親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRJKHJGFFB87DA,0,0,0,無,10
