鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
東勢區,土地,石圍墻段石圍墻小段1074-12地號,1000,,山坡地保育區,農牧用地,1120601,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,650000,650,,0,0,,RPPNMLQJOHIGFGB08DA,0,0,0,無,
大甲區,土地,太白段353地號,1442.28,,特定農業區,農牧用地,1120601,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,3000000,2080,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLQJOHIGFEB18DA,0,0,0,無,
西區,房地(土地+建物),臺中市西區三民路一段５０巷８號１３樓之２９,2.07,商,,,1120501,土地2建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840113,26.9,1,0,1,有,有,1740000,64684,,0,0,,RPUNMLMJNHIGFAB47DA,14.19,0,3.14,有,1
太平區,土地,樹德段1009地號,18.21,住,,,1120502,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,1540000,84569,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJNHIGFJB28EA,0,0,0,無,2
大安區,土地,中海段668地號,1603.72,,特定農業區,農牧用地,1120502,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,2668000,1664,,0,0,農作物；,RPRNMLMJNHIGFEB57DA,0,0,0,無,
西區,土地,後子段161-12地號,8,住,,,1120502,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,968000,121000,,0,0,,RPPNMLTJNHIGFAB77EA,0,0,0,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段３９９號十七樓之１,24.26,都市：其他:第六種新市政中心專用區,,,1120501,土地1建物1車位3,十七層,三十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050127,421.26,4,2,3,有,有,64350000,162443,坡道平面,51.9,4350000,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTJNHIGFCB97EA,208.47,6.97,30.35,有,
大里區,房地(土地+建物),臺中市大里區向上街３２之５號,20.47,住,,,1120501,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,791130,120.55,2,2,1,有,有,5620000,46620,,0,0,,RPSNMLTJNHIGFIB78DA,84.85,0,17.46,有,
沙鹿區,房地(土地+建物),臺中市沙鹿區臺灣大道七段４３２巷６６弄１７號三樓,8.23,住,,,1120501,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,960109,19.95,1,0,1,有,有,1500000,75188,,0,0,套房。,RPPOMLKKNHIGFFB47DA,13.79,0,1.96,有,
大安區,土地,中海段630地號,76.4,,特定農業區,農牧用地,1120504,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,300000,3927,,0,0,,RPPNMLLKNHIGFEB47EA,0,0,0,無,3
沙鹿區,房地(土地+建物),臺中市沙鹿區興安路６４之３號二樓之２０,4.46,住,,,1120501,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090825,14.33,1,1,1,有,有,1300000,90719,,0,0,含仲介費；陽台外推；夾層；,RPRNMLKKNHIGFFB57DA,7.64,0,1.58,有,4
北區,房地(土地+建物),臺中市北區北平路二段５號４樓之２６,5.45,商,,,1120505,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850829,30.13,0,0,0,無,有,1500000,49784,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLKNHIGFBB47DA,19.15,0,1.71,有,5
沙鹿區,房地(土地+建物),臺中市沙鹿區興安路６４之３號二樓之１３,4.46,住,,,1120501,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1090825,14.33,1,1,1,有,有,1300000,90719,,0,0,含仲介費；陽台外推；夾層；,RPPNMLKKNHIGFFB37DA,7.64,0,1.58,有,6
北區,房地(土地+建物),臺中市北區陝西路１０８號１２樓之１５,3.29,住,,,1120501,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,781102,44.2,1,1,1,有,有,3150000,71267,,0,0,,RPVPMLNJNHIGFBB97DA,24.7,0,7.19,有,
大安區,房地(土地+建物),臺中市大安區中松路６２號,75.87,住,,,1120504,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,710601,112.93,3,2,2,有,無,6000000,53130,,0,0,急買急賣；,RPQNMLLKNHIGFEB47DA,112.93,0,0,無,7
沙鹿區,房地(土地+建物),臺中市沙鹿區東晉一街９１巷１號,82.09,住,,,1120502,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1110607,160.09,4,2,4,有,有,13500000,84328,,0,0,含裝潢費1230000元；,RPQNMLRJNHIGFFB08DA,138.81,0,21.07,無,
東勢區,房地(土地+建物),臺中市東勢區新盛街１３８之６號二樓,30.84,住,,,1120501,土地4建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,921030,139.13,3,2,2,有,有,5700000,40969,,0,0,,RPPNMLMKNHIGFGB67DA,79.41,5.1,8.99,有,
太平區,土地,頭汴坑段1091-15地號,668,,山坡地保育區,林業用地,1120509,土地3建物0車位0,,,其他,,,,0,0,0,0,無,無,550000,823,,0,0,一筆共有土地供共有人報路通行使用一筆共有土地供共有人放置共用水塔等物之用,RPSNMLMKNHIGFJB28DA,0,0,0,無,8
