鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
西屯區,土地,民安段1716地號,11.76,住,,,1130902,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,1244739,105845,,0,0,,RPVPMLMJRHJGFCB48DA,0,0,0,無,1
太平區,房地(土地+建物),臺中市太平區振英街９２號三樓之２,13.72,住,,,1130901,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820618,82.64,2,2,2,有,有,4200000,50823,,0,0,,RPQWMLPJRHJGFJB07DA,62.03,0.84,1.84,有,
清水區,土地,銀聯段1829-4地號,1,住,,,1130801,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,75000,0,,0,0,,RPTNMLLJQHJGFFB18DA,0,0,0,無,
霧峰區,土地,萬豐段746地號,96.77,,鄉村區,乙種建築用地,1130802,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,2350000,24284,,0,0,,RPQNMLQJQHJGFIB68DA,0,0,0,無,
霧峰區,土地,萬豐段731地號,31.93,,鄉村區,乙種建築用地,1130802,土地3建物0車位0,,,其他,,,,0,0,0,0,無,無,150000,4698,,0,0,親友、員工、共有人或其他特殊關係間之交易；,SPQNMLQJQHJGFIB78DA,0,0,0,無,2
神岡區,土地,三角東段1768地號,35.67,農,,,1130801,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,1728000,48444,,0,0,,RPSNMLLJQHJGFDB87DA,0,0,0,無,
沙鹿區,土地,新竹林段1214地號,17.29,住,,,1130801,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,878640,50818,,0,0,,RPRRNLQJQHJGFFB98DA,0,0,0,無,3
北區,房地(土地+建物),臺中市北區忠明路５０２之７號８樓之４,5.36,住,,,1130822,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840519,54.98,2,0,1,有,有,4390000,79847,,0,0,,RPUQMLTJQHJGFBB98DA,32.75,0,0,有,
北屯區,房地(土地+建物),臺中市北屯區東山路一段２１６之３４號,94,住,,,1130804,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,780128,290.63,6,1,4,有,無,20000000,68816,,0,0,土地款:1830萬元建物款:170萬元其他 本不動產1樓後面及2至5樓出賣人所有物品含流理臺冷氣衛浴設施等騰遷及將5樓以鐵皮片與隔壁隔間費用全部由出賣人負擔:150000元；頂樓加蓋；其他增建；,RPVNMLLKQHJGFBB08DA,256.58,9.86,24.19,無,
北區,土地,賴厝段184-69地號,180.5,住,,,1130801,土地7建物0車位0,,,其他,,,,0,0,0,0,無,無,56990000,315734,,0,0,政府機關標讓售；,RPROMLMKQHJGFBB87DA,0,0,0,無,
新社區,土地,大南段大南小段203-273地號,166,,鄉村區,乙種建築用地,1130805,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,4017200,24200,,0,0,,RPPNMLPJQHJGFGB28DA,0,0,0,無,
東區,土地,練武段103-2地號,4,住,,,1130801,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,480000,120000,,0,0,政府機關標讓售；,RPPNMLQJQHJGFAB87EA,0,0,0,無,
北區,房地(土地+建物),臺中市北區梅豐街８２之１號,25.47,住,,,1130806,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701223,79.85,3,2,1,有,無,3840000,48090,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLNKQHJGFBB08DA,79.85,0,0,無,
北區,房地(土地+建物),臺中市北區梅豐街８４之１號,25.47,住,,,1130806,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701223,85.4,3,2,1,有,無,4160000,48712,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLNKQHJGFBB18DA,85.4,0,0,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區寶慶街３０巷６號四樓之５,6.37,商,,,1130806,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,890801,64.19,3,2,2,有,有,4040000,62938,坡道機械,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLQJQHJGFCB68DA,38.71,0,5.33,有,
南屯區,土地,台安段139-1地號,10488.09,,,,1130801,土地4建物0車位0,,,其他,,,,0,0,0,0,無,無,119779441,11421,,0,0,包含公共設施保留地用地；,RPUNMLNKQHJGFCB28DA,0,0,0,無,4
