編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUPMLLMQHHFFBB97CA,松昌段,14.43,都市：住,10000,39,持分移轉,06050000
RPTNMLPKQHHFFGL76CA,新榮和段,174.31,都市：住,1,1,全筆移轉,01410009
RPSNMLKKQHHFFCL38CA,海風段,155.50,都市：其他:一般農業區丙種建築用地,1,1,全筆移轉,02380000
RPPNMLNJRHHFFEL58CA,大南段大南小段,395.00,都市：農,1,1,全筆移轉,01090005
RPPNMLOJQHHFFFL68CA,摘星段,27.85,都市：住,1,1,全筆移轉,11270000
RPPNMLSJQHHFFFL09CA,甘潭段,12.04,都市：住,10000,108,持分移轉,03850000
RPRNMLKKQHHFFBB17CA,東山段,1.88,都市：商,100000,91,持分移轉,02210000
RPQNMLNKQHHFFAL28CA,南村段,7.50,都市：住,100000,1099,持分移轉,03500000
RPQNMLKLQHHFFGL78DA,舊正西段,347.20,非都市：特定農業區 ; 非都市編定：農牧用地,200000,30691,持分移轉,03170000
RPQNMLOLQHHFFAL48CA,豐原段,73.00,都市：商,1,1,全筆移轉,04310002
RPXNMLOJRHHFFGL17DA,喬城段,94.52,都市：住,1,1,全筆移轉,06280000
RPQPMLQJRHHFFGL86DA,興祥段,13.19,都市：住,100000,810,持分移轉,01890000
RPPNMLPJRHHFFEL88DA,糖段,90.91,都市：其他:,1,1,全筆移轉,04300000
RPPNMLQJQHHFFBL58DA,渭水段,16.84,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01500000
RPPNMLTJQHHFFAL68CA,三陽段,330.58,都市：住,1,1,全筆移轉,06840001
RPQOMLLLQHHFFAL28CA,南村段,2.68,都市：商,100000,195,持分移轉,05990000
RPQOMLLLQHHFFAL28CA,南村段,.33,都市：商,100000,195,持分移轉,05990001
RPRNMLRJQHHFFCB87CA,中正段,152.00,都市：住,1,1,全筆移轉,00850001
RPPNMLPKQHHFFGL09DA,金城段,119.61,都市：工,1,1,全筆移轉,12680000
