編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLRJJIHFFAB77CA,,54.93,集合住宅,鋼筋混凝土造,101年7月23日,九層,七層 陽台 雨遮
RPXOMLRJJIHFFAB77CA,,32.35,本共有部分係依使用執照之建築概要表記載項目有：停車空間、行動不便使用電梯、升降機間、清水池、消防機械室、樓梯間、污水機械設備、梯廳、防空避難室兼停車空間、電信室、台電配電室、管委會使用空間、儲藏室、電梯間、梯間、電梯機房、水箱等十七項。,鋼筋混凝土造,101年7月23日,九層,
RPXOMLRJJIHFFAB77CA,,10.57,本共有部分係依使用執照之建築概要表記載項目有：行動不便使用電梯、升降機間、走廊、梯廳、梯間等五項。,鋼筋混凝土造,101年7月23日,九層,
RPPPMLRJJIHFFAB07CA,2,66.80,集合住宅,鋼筋混凝土造,101年7月23日,九層,二層 陽台 雨遮
RPPPMLRJJIHFFAB07CA,2,49.71,本共有部分係依使用執照之建築概要表記載項目有：停車空間、行動不便使用電梯、升降機間、清水池、消防機械室、樓梯間、污水機械設備、梯廳、防空避難室兼停車空間、電信室、台電配電室、管委會使用空間、儲藏室、電梯間、梯間、電梯機房、水箱等十七項。,鋼筋混凝土造,101年7月23日,九層,
RPPPMLRJJIHFFAB07CA,2,12.84,本共有部分係依使用執照之建築概要表記載項目有：行動不便使用電梯、升降機間、走廊、梯廳、梯間等五項。,鋼筋混凝土造,101年7月23日,九層,
RPOPMLRJJIHFFAB96CA,2,61.67,集合住宅,鋼筋混凝土造,101年7月23日,九層,五層 陽台 雨遮
RPOPMLRJJIHFFAB96CA,2,21.49,本共有部分係依使用執照之建築概要表記載項目有：停車空間、行動不便使用電梯、升降機間、清水池、消防機械室、樓梯間、污水機械設備、梯廳、防空避難室兼停車空間、電信室、台電配電室、管委會使用空間、儲藏室、電梯間、梯間、電梯機房、水箱等十七項。,鋼筋混凝土造,101年7月23日,九層,
RPOPMLRJJIHFFAB96CA,2,11.87,本共有部分係依使用執照之建築概要表記載項目有：行動不便使用電梯、升降機間、走廊、梯廳、梯間等五項。,鋼筋混凝土造,101年7月23日,九層,
RPQPMLSJJIHFFAB27CA,17,109.61,店舖．住房,鋼筋混凝土造,84年11月30日,十七層,一層 二層 陽台 平台
RPQPMLSJJIHFFAB27CA,17,31.12,開放空間，梯間，防空避難室，停車空間，機械室，水箱,鋼筋混凝土造,84年11月30日,十七層,
RPVQMLRJJIHFFAB77CA,34,96.74,住家用,鋼筋混凝土造,68年3月20日,四層,三層
RPTQMLMKJIHFFAB17CA,18,71.01,住家用,鋼筋混凝土造,83年7月28日,十六層,三層 陽台 花台 雨遮
RPTQMLMKJIHFFAB17CA,18,31.67,梯間、人行道、機械室、防空避難室、水箱,鋼筋混凝土造,83年7月28日,十六層,
RPTQMLMKJIHFFAB17CA,18,15.71,停車空間,鋼筋混凝土造,83年7月28日,十六層,
RPTQMLMKJIHFFAB17CA,18,95.78,梯間、人行道、機械室、防空避難室、水箱,鋼筋混凝土造,83年7月28日,十六層,
RPVOMLQKJIHFFAB57CA,19,218.63,住家用,鋼筋混凝土造,82年7月9日,十二層,十一層 十二層 陽台 露台 花台
RPVOMLQKJIHFFAB57CA,19,70.40,共有部份,鋼筋混凝土造,82年7月9日,十二層,
RPQNMLRKJIHFFAB07CA,18,118.00,住家用,鋼筋混凝土造,83年9月15日,十四層,三層 陽台 花台
RPQNMLRKJIHFFAB07CA,18,35.33,共有部份,鋼筋混凝土造,83年9月15日,十四層,
RPVNMLMLJIHFFAB17CA,29,105.07,住家用,鋼筋混凝土造,72年6月23日,五層,一層 騎樓
RPRNMLKKJIHFFAB09CA,16,25.30,住家用,鋼骨造,86年1月31日,二十八層,十九層 陽台
RPRNMLKKJIHFFAB09CA,16,.92,共同使用,鋼骨造,86年1月31日,二十八層,
RPRNMLKKJIHFFAB09CA,16,7.69,公共設施,鋼骨造,86年1月31日,二十八層,
RPRNMLKKJIHFFAB09CA,16,3.48,共有部份,鋼骨造,86年1月31日,二十八層,
RPQNMLKKJIHFFAB98CA,16,25.30,住家用,鋼骨造,86年1月31日,二十八層,二十層 陽台
RPQNMLKKJIHFFAB98CA,16,.92,共同使用,鋼骨造,86年1月31日,二十八層,
RPQNMLKKJIHFFAB98CA,16,7.69,公共設施,鋼骨造,86年1月31日,二十八層,
RPQNMLKKJIHFFAB98CA,16,3.48,共有部份,鋼骨造,86年1月31日,二十八層,
RPOPMLNJJIHFFBB66CA,16,6.33,共有部份,鋼筋混凝土造,86年4月16日,二十四層,
RPOPMLNJJIHFFBB66CA,16,5.24,共有部份,鋼筋混凝土造,86年4月16日,二十四層,
RPRNMLNLJIHFFAB86CA,36,176.54,住商用,鋼筋混凝土造,65年12月9日,三層,一層 二層 三層 騎樓
RPWOMLNJJIHFFBB37CA,21,63.18,住家用,鋼筋混凝土造,80年5月28日,七層,四層 陽台
RPWOMLNJJIHFFBB37CA,21,6.36,避難室、停車空間,鋼筋混凝土造,80年5月28日,七層,
RPWOMLNJJIHFFBB37CA,21,8.13,共有部份,鋼筋混凝土造,80年5月28日,七層,
RPSNMLNLJIHFFAB96CA,18,246.63,住家用,鋼筋混凝土造,83年6月6日,七層,七層 陽台 花台
RPQNMLPJJIHFFBB86CA,19,26.01,住家用,鋼筋混凝土造,82年12月11日,十三層,八層 陽台
RPPPMLNJJIHFFBB76CA,16,82.07,住家用,鋼筋混凝土造,86年4月16日,二十四層,九層 陽台 花台
RPPPMLNJJIHFFBB76CA,16,23.14,共有部份,鋼筋混凝土造,86年4月16日,二十四層,
RPOOMLPJJIHFFBB76CA,28,76.67,住家用,鋼筋混凝土造,73年4月30日,五層,五層 陽台 雨遮
RPOOMLPJJIHFFBB76CA,28,9.08,共有部份,鋼筋混凝土造,73年4月30日,五層,
RPOOMLPJJIHFFBB76CA,28,4.31,共有部份,鋼筋混凝土造,73年4月30日,五層,
RPWQMLLJJIHFFBB37CA,20,111.92,住家用,鋼筋混凝土造,81年5月19日,十六層,三層 陽台
RPWQMLLJJIHFFBB37CA,20,13.18,停車空間，避難室,鋼筋混凝土造,81年5月19日,十六層,
RPWQMLLJJIHFFBB37CA,20,18.24,共有部份,鋼筋混凝土造,81年5月19日,十六層,
RPRPMLMJJIHFFBB86CA,18,72.35,住家用,鋼筋混凝土造,83年4月26日,九層,三層 陽台
RPRPMLMJJIHFFBB86CA,18,22.01,共有部份,鋼筋混凝土造,83年4月26日,九層,
RPRPMLMJJIHFFBB86CA,18,6.97,共有部份,鋼筋混凝土造,83年4月26日,九層,
RPTOMLPJJIHFFBB27CA,19,89.89,住商用,鋼筋混凝土造,82年5月11日,八層,一層 二層 陽台 平台 騎樓 花台
RPTOMLPJJIHFFBB27CA,19,30.79,共有部份,鋼筋混凝土造,82年5月11日,八層,
RPRNMLQJJIHFFBB07CA,18,28.75,商業用,鋼筋混凝土造,83年12月22日,十七層,十三層 陽台
RPVNMLQJJIHFFBB47CA,17,108.19,住商用,鋼筋混凝土造,84年12月29日,十一層,一層 二層 陽台 平台 騎樓
RPSOMLNJJIHFFBB96CA,14,93.81,住家用,鋼筋混凝土造,87年11月6日,十四層,三層 陽台
RPSOMLNJJIHFFBB96CA,14,32.62,共有部份,鋼筋混凝土造,87年11月6日,十四層,
RPRRMLPJJIHFFBB37CA,18,92.62,住商用,鋼筋混凝土造,83年5月20日,十三層,一層 二層 陽台 平台 花台
RPRRMLPJJIHFFBB37CA,18,6.02,共有部份,鋼筋混凝土造,83年5月20日,十三層,
RPUOMLQJJIHFFBB47CA,5,49.60,住家用,鋼筋混凝土造,96年12月31日,十四層,十二層 陽台
RPUOMLQJJIHFFBB47CA,5,23.29,共有部份,鋼筋混凝土造,96年12月31日,十四層,
RPWNMLQJJIHFFBB57CA,22,23.14,停車空間，避難室,鋼筋混凝土造,79年12月28日,八層,
RPWNMLQJJIHFFBB57CA,22,138.99,住家用,鋼筋混凝土造,79年12月28日,八層,四層 陽台 花台
RPRRMLRJJIHFFBB57CA,27,85.16,住家用,鋼筋混凝土造,74年4月17日,五層,五層 陽台 花台
RPRRMLRJJIHFFBB57CA,27,5.35,共有部份,鋼筋混凝土造,74年4月17日,五層,
RPQQMLTJJIHFFBB57CA,14,28.36,共有部份,鋼筋混凝土造,87年11月6日,十四層,
RPSNMLSJJIHFFBB37CA,32,106.44,住家用,鋼筋混凝土造,70年1月22日,五層,三層
RPRQMLTJJIHFFBB67CA,,86.41,住家用,鋼筋混凝土造,101年7月25日,十五層,十一層 陽台 雨遮
RPRQMLTJJIHFFBB67CA,,18.21,本共有部份係依使用執照之建築概要表記載項目有，停車空間，梯間，昇降機間，消防機房、污水機房，水箱，機車停車空間，防空避難室兼停車空間，台電配電室，緊急發電機室，機械室，電信室，電錶箱室，社區大廳，垃圾集中處，門廳，門廊，梯廳，社區交誼廳，社區閱讀室，休閒區，車道，排煙室，沿街步道式開放空間（頂蓋型）：等２４項。,鋼筋混凝土造,101年7月25日,十五層,
RPRQMLTJJIHFFBB67CA,,22.65,本共有部份係依使用執照之建築概要表記載項目有，梯間，昇降機間，排煙室，梯廳，水箱，水錶箱室，機械室等７項。,鋼筋混凝土造,101年7月25日,十五層,
RPVPMLRJJIHFFBB77CA,19,100.55,住家用,鋼筋混凝土造,83年2月17日,六層,三層 陽台
RPSNMLMKJIHFFBB86CA,21,30.52,住家用,鋼筋混凝土造,80年12月28日,十二層,七層
RPSNMLMKJIHFFBB86CA,21,14.77,共有部份,鋼筋混凝土造,80年12月28日,十二層,
RPSNMLMKJIHFFBB86CA,21,5.77,共有部份,鋼筋混凝土造,80年12月28日,十二層,
RPUNMLMKJIHFFBB07CA,20,221.26,住家用,鋼筋混凝土造,81年6月24日,四層,一層 二層 三層 四層 陽台
RPPUMLTJJIHFFBB87CA,19,125.11,住家用,鋼筋混凝土造,82年12月8日,五層,四層 陽台
RPPUMLTJJIHFFBB87CA,19,15.19,共有部份,鋼筋混凝土造,82年12月8日,五層,
RPTQMLMKJIHFFBB27CA,18,121.16,住商用,鋼筋混凝土造,83年6月23日,十四層,一層 二層 陽台 平台 騎樓
RPUPMLOKJIHFFBB47CA,29,99.54,住家用,鋼筋混凝土造,73年1月20日,二層,一層 二層 陽台 平台 夾層
RPTOMLPKJIHFFBB37CA,19,136.87,住家用,鋼筋混凝土造,82年12月14日,十層,八層 陽台
