鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,房地(土地+建物)+車位,台中市南區福田三街２７６號七樓之三,21.32,住,工業區,,1011210,土地1建物3車位1,七層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0990316,124.57,3,2,2,有,有,4950000,39737,坡道機械,6.76,0,,RPTQMLLJKHIFFAB07CA,76.24,0.0,9.33,,
中區,房地(土地+建物),台中市中區民族路４６號八樓之１,15.3,商,,,1020104,土地2建物1車位0,八層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0701207,116.31,3,2,2,有,有,3398000,29215,,0.0,0,,RPQOMLOJKHIFFAB86CA,79.34,0.0,0.0,,
西區,房地(土地+建物),台中市西區篤行路１６２巷３７號３樓之１,20.0,住,,,1020107,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820622,88.4,4,0,0,有,無,3400000,38462,,0.0,0,,RPQPMLOJKHIFFAB96CA,51.52,0.0,11.71,,
東區,土地,尚武段48-1地號,32.67,其他,,,1011217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1888460,57804,,0.0,0,道路用地,RPVOMLPJKHIFFAB47CA,0.0,0.0,0.0,,
中區,房地(土地+建物),台中市中區中華路一段９９號十樓之１,35.55,商,,,1011130,土地2建物1車位0,十層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0710226,139.27,4,1,4,有,有,2400000,17233,,0.0,0,,RPRPMLPJKHIFFAB17CA,130.41,0.0,8.86,,
南區,房地(土地+建物),台中市南區工學北路８６號８樓之４２,1.83,住,,,1020124,土地1建物1車位0,八層,十八層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,20.04,1,1,1,有,有,780000,38922,,0.0,0,,RPSPMLPJKHIFFAB27CA,16.58,0.0,3.46,,
西區,房地(土地+建物)+車位,台中市西區五權西四街27號15樓之1,10.76,住,,,1011228,土地3建物1車位1,十五層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890803,212.13,2,2,2,有,有,15750000,74247,坡道平面,14.34,0,,RPRNMLPJKHIFFAB96CA,118.39,2.79,23.64,,
南區,房地(土地+建物),台中市南區南平路３９號７樓之６　　,2.45,商,,,1020117,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840510,27.799999999999997,1,0,1,有,有,725000,26079,,0.0,0,,RPTNMLQJKHIFFAB27CA,16.23,0.0,2.49,,
南區,房地(土地+建物),台中市南區瑞豐街１９巷６弄１０號,18.0,住,,,1020121,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,0590629,25.05,3,1,1,有,無,700000,27944,,0.0,0,,RPXPMLQJKHIFFAB87CA,25.05,0.0,0.0,,
南區,房地(土地+建物),台中市南區復興北路５１７號十一樓,10.96,住,,,1011228,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821125,81.06,3,1,1,有,有,2850000,35159,,0.0,0,,RPPNMLRJKHIFFAB96CA,62.55,0.0,7.11,,
西區,土地,後子段325-156地號,62.0,其他,,,1020115,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3317040,53501,,0.0,0,公共設施保留地之交易。,RPVQMLQJKHIFFAB77CA,0.0,0.0,0.0,,
西區,土地,土庫段33-45地號,76.96,其他,,,1020115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4291290,55760,,0.0,0,公共設施保留地之交易。,RPWQMLQJKHIFFAB87CA,0.0,0.0,0.0,,
西區,房地(土地+建物),台中市西區民生路１３５號１９樓之２２,2.6,商,,,1020110,土地1建物1車位0,十九層,二十二層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,0850119,43.93,1,1,1,有,有,950000,21625,,0.0,0,,RPROMLRJKHIFFAB27CA,20.2,0.0,3.98,,
南區,土地,下橋子頭段236-18地號,112.5,其他,,,1011228,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4498758,39989,,0.0,0,,RPWPMLRJKHIFFAB87CA,0.0,0.0,0.0,,
西區,土地,麻園頭段171-65地號,418.59,其他,,,1020111,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18067289,43162,,0.0,0,公共設施保留地之交易。,RPXPMLRJKHIFFAB97CA,0.0,0.0,0.0,,
南區,土地,頂橋子頭段85-475地號,115.5,其他,,,1011228,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4613994,39948,,0.0,0,公共設施保留地之交易。,RPOQMLRJKHIFFAB17CA,0.0,0.0,0.0,,
南區,房地(土地+建物)+車位,台中市南區工學路１４６巷５號１６樓之１,14.83,其他,,,1011220,土地2建物1車位1,十六層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0841130,128.96,3,2,2,有,有,3750000,29079,坡道平面,0.0,0,,RPSSMLRJKHIFFAB77CA,73.71,0.0,7.68,,
南區,房地(土地+建物),台中市南區長春里愛國街８２號,27.05,住,,,1011205,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0681022,43.46,2,1,2,有,無,3180000,73171,,0.0,0,,RPVNMLSJKHIFFAB67CA,43.46,0.0,0.0,,
