編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTPMLMJQHIFFAB67CA,23,197.35,住家用,鋼筋混凝土造,79年12月6日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物
RPXOMLMJQHIFFAB97CA,8,40.72,集合住宅,鋼筋混凝土造,94年12月19日,九層,三層 陽台
RPXOMLMJQHIFFAB97CA,8,9.76,共用部分,鋼筋混凝土造,94年12月19日,九層,
RPXOMLMJQHIFFAB97CA,8,13.84,共用部分,鋼筋混凝土造,94年12月19日,十二層,
RPRRMLQJQHIFFAB08CA,6,79.43,集合住宅,鋼筋混凝土造,96年9月27日,十三層,十層 陽台 雨遮
RPRRMLQJQHIFFAB08CA,6,38.59,共用,鋼筋混凝土造,96年9月27日,十三層,
RPRRMLQJQHIFFAB08CA,6,10.06,共用,鋼筋混凝土造,96年9月27日,十三層,
RPVNMLSJQHIFFAB28CA,15,62.81,住家用,鋼筋混凝土造,87年9月30日,十二層,十層 陽台
RPVNMLSJQHIFFAB28CA,15,17.22,共有部份,鋼筋混凝土造,87年9月30日,十三層,
RPXNMLOJQHIFFAB08CA,22,41.95,停車空間．辦公室,鋼骨造,80年4月2日,三十七層,
RPXNMLOJQHIFFAB08CA,22,362.03,機械房．梯間．水箱．屋頂突出物,鋼骨造,80年4月2日,三十七層,
RPXNMLOJQHIFFAB08CA,22,546.76,辦公室,鋼骨造,80年4月2日,三十七層,十七層
RPXNMLOJQHIFFAB08CA,22,87.66,停車空間．辦公室,鋼骨造,80年5月24日,三十七層,
RPPQMLMKQHIFFAB47CA,18,91.89,集合住宅,鋼筋混凝土造,84年5月25日,十六層,十六層 陽台
RPPQMLMKQHIFFAB47CA,18,32.50,防空避難室，停車空間，受電室，人行道，樓梯間，機械室，水塔，辦公室，機電室,鋼筋混凝土造,84年5月25日,十六層,
RPPOMLQJQHIFFAB57CA,14,11.17,共同使用,鋼筋混凝土造,88年4月19日,九層,
RPOOMLQJQHIFFAB47CA,14,11.17,共同使用,鋼筋混凝土造,88年4月19日,九層,
RPUPMLSJQHIFFAB38CA,20,30.62,住家用,鋼筋混凝土造,82年11月2日,十六層,十五層 陽台
RPUPMLSJQHIFFAB38CA,20,9.22,管理員辦公室、防空避難室、廣告塔、人行道、停車空間、交誼廳、水塔、機械房、梯間,鋼筋混凝土造,82年11月2日,十六層,
SPUPMLSJQHIFFAB48CA,20,30.87,住家用,鋼筋混凝土造,82年11月2日,十六層,九層 花台
SPUPMLSJQHIFFAB48CA,20,11.44,管理員辦公室、防空避難室、廣告塔、人行道、停車空間、交誼廳、水塔、機械房、梯間,鋼筋混凝土造,82年11月2日,十六層,
RPTNMLPKQHIFFAB87CA,37,156.06,住家用,鋼筋混凝土造,65年12月13日,三層,一層 二層 三層 地下層
RPQNMLTKQHIFFAB97CA,8,78.59,集合住宅,鋼筋混凝土造,94年6月2日,十四層,七層 陽台 雨遮
RPQNMLTKQHIFFAB97CA,8,50.41,共用,鋼筋混凝土造,94年6月2日,十四層,
RPSOMLMLQHIFFAB67CA,6,28.61,共用,鋼筋混凝土造,96年7月20日,十二層,
RPOQMLSLQHIFFAB08CA,,155.56,集合住宅,鋼筋混凝土造,102年5月29日,十四層,十三層 陽台 雨遮
RPOQMLSLQHIFFAB08CA,,.55,管理室,鋼筋混凝土造,102年5月29日,十四層,
RPOQMLSLQHIFFAB08CA,,130.17,共有：本共有部份之項目有停車空間、樓梯間、排煙室、昇降機間、機械機房、消防機房、水箱、電信室、防空避難室兼停車空間、機械室、緊急發電室、管理室、台電配電室、機車停車區、車道、門廳、社區大廳、社區交誼廳、社區閱讀室、頂蓋型開放空間、垃圾集中處、梯廳、屋頂平台、水錶箱室、電梯機房等２５項。,鋼筋混凝土造,102年5月29日,十四層,
RPVOMLSLQHIFFAB58CA,,123.12,集合住宅,鋼筋混凝土造,102年5月29日,十四層,十四層 陽台 雨遮
RPVOMLSLQHIFFAB58CA,,.28,管理室,鋼筋混凝土造,102年5月29日,十四層,
RPVOMLSLQHIFFAB58CA,,100.91,共有：本共有部份之項目有停車空間、樓梯間、排煙室、昇降機間、機械機房、消防機房、水箱、電信室、防空避難室兼停車空間、機械室、緊急發電室、管理室、台電配電室、機車停車區、車道、門廳、社區大廳、社區交誼廳、社區閱讀室、頂蓋型開放空間、垃圾集中處、梯廳、屋頂平台、水錶箱室、電梯機房等２５項。,鋼筋混凝土造,102年5月29日,十四層,
RPPRMLSLQHIFFAB28CA,,158.02,集合住宅,鋼筋混凝土造,102年5月29日,十四層,十四層 陽台 雨遮
RPPRMLSLQHIFFAB28CA,,.55,管理室,鋼筋混凝土造,102年5月29日,十四層,
RPPRMLSLQHIFFAB28CA,,158.77,共有：本共有部份之項目有停車空間、樓梯間、排煙室、昇降機間、機械機房、消防機房、水箱、電信室、防空避難室兼停車空間、機械室、緊急發電室、管理室、台電配電室、機車停車區、車道、門廳、社區大廳、社區交誼廳、社區閱讀室、頂蓋型開放空間、垃圾集中處、梯廳、屋頂平台、水錶箱室、電梯機房等２５項。,鋼筋混凝土造,102年5月29日,十四層,
RPSSMLSLQHIFFAB68CA,1,185.44,集合住宅,鋼筋混凝土造,102年5月29日,十四層,十三層 陽台 雨遮
RPSSMLSLQHIFFAB68CA,1,.55,管理室,鋼筋混凝土造,102年5月29日,十四層,
RPSSMLSLQHIFFAB68CA,1,172.16,共有：本共有部份之項目有停車空間、樓梯間、排煙室、昇降機間、機械機房、消防機房、水箱、電信室、防空避難室兼停車空間、機械室、緊急發電室、管理室、台電配電室、機車停車區、車道、門廳、社區大廳、社區交誼廳、社區閱讀室、頂蓋型開放空間、垃圾集中處、梯廳、屋頂平台、水錶箱室、電梯機房等２５項。,鋼筋混凝土造,102年5月29日,十四層,
RPORMLSLQHIFFAB18CA,,185.83,集合住宅,鋼筋混凝土造,102年5月29日,十四層,十三層 陽台 雨遮
RPORMLSLQHIFFAB18CA,,.55,管理室,鋼筋混凝土造,102年5月29日,十四層,
RPORMLSLQHIFFAB18CA,,172.35,共有：本共有部份之項目有停車空間、樓梯間、排煙室、昇降機間、機械機房、消防機房、水箱、電信室、防空避難室兼停車空間、機械室、緊急發電室、管理室、台電配電室、機車停車區、車道、門廳、社區大廳、社區交誼廳、社區閱讀室、頂蓋型開放空間、垃圾集中處、梯廳、屋頂平台、水錶箱室、電梯機房等２５項。,鋼筋混凝土造,102年5月29日,十四層,
RPVTMLLJQHIFFBB28CA,19,232.78,住商用,鋼筋混凝土造,83年6月10日,四層,一層 二層 三層 四層 平台 騎樓
RPPRMLMJQHIFFBB57CA,1,261.53,住宅，外廊,鋼筋混凝土造,101年9月11日,三層,一層 二層 三層 陽台
RPRPMLPJQHIFFBB87CA,3,42.11,住家用,鋼筋混凝土造,99年9月9日,十七層,十四層 陽台 雨遮
RPRPMLPJQHIFFBB87CA,3,24.34,本共有部份係依使用執照之建築概要表記載項目有，停車空間，樓梯間，昇降機間，消防機房兼污水機房，排煙室，水箱，機車停車區，防空避難室兼停車空間，車道，台電配電室，緊急發電機室，機房，電信室等１３項。,鋼筋混凝土造,99年9月9日,十七層,
RPRPMLPJQHIFFBB87CA,3,14.79,本共有部份係依使用執照之建築概要表記載項目有，人行道，管委會管理室，門廳，樓梯間，昇降機間，排煙室，梯廳，公設，透空遮牆，水箱，電梯機房，走廊，車道，外廊等１４項。,鋼筋混凝土造,99年9月9日,十七層,
RPPOMLPJQHIFFBB57CA,18,.90,商業用,鋼筋混凝土造,84年11月27日,七層,
RPPOMLPJQHIFFBB57CA,18,52.38,住家用,鋼筋混凝土造,84年11月27日,七層,七層 陽台
RPPOMLPJQHIFFBB57CA,18,25.75,共有部份,鋼筋混凝土造,84年11月27日,七層,
RPPOMLPJQHIFFBB57CA,18,6.00,共有部份,鋼筋混凝土造,84年11月27日,七層,
RPPOMLPJQHIFFBB57CA,18,8.86,共有部份,鋼筋混凝土造,84年11月27日,七層,
RPXRMLPJQHIFFBB68CA,25,26.56,住家用,鋼筋混凝土造,77年6月17日,七層,四層 陽台
RPQNMLQJQHIFFBB67CA,19,27.59,住家用,鋼筋混凝土造,83年7月5日,七層,五層 陽台 花台
RPQNMLQJQHIFFBB67CA,19,10.75,共有部份,鋼筋混凝土造,83年7月5日,七層,
RPQNMLQJQHIFFBB67CA,19,.00,共有部份,鋼筋混凝土造,83年7月5日,七層,
RPRNMLQJQHIFFBB77CA,28,92.89,國民住宅,鋼筋混凝土造,74年3月23日,十五層,八層 陽台 花台
RPRNMLNJQHIFFBB47CA,3,133.26,住家用,鋼筋混凝土造,99年9月2日,十四層,十一層 陽台 雨遮
RPRNMLNJQHIFFBB47CA,3,22.68,本共有部分係依使用執照之建築概要表記載項目有樓梯間、機械室、梯廳、電梯間及排煙室等五項。,鋼筋混凝土造,99年9月2日,十四層,
RPRNMLNJQHIFFBB47CA,3,96.91,本共有部分係依使用執照之建築概要表記載項目有停車空間、停車空間兼防空避難室、樓梯間、水錶室、水箱、機械室、管理室、公共服務空間、梯廳兼排煙室、台電配電室、電信室、儲藏室、消防機械室、發電機室、蓄水池、電梯間、資源回收室及排煙室等１８項。,鋼筋混凝土造,99年9月2日,十四層,
RPVOMLRJQHIFFBB38CA,1,361.22,店舖、停車空間、住宅、梯間,鋼筋混凝土造,101年10月5日,四層,一層 二層 三層 四層 陽台 雨遮 見其他登記事項
RPQNMLTJQHIFFBB97CA,26,63.96,住家用,鋼筋混凝土造,76年10月8日,五層,四層 陽台
RPQNMLTJQHIFFBB97CA,26,18.28,共有部份,鋼筋混凝土造,76年10月8日,五層,
RPWPMLPKQHIFFBB48CA,26,88.95,住家用,鋼筋混凝土造,76年7月27日,五層,四層 陽台
RPWPMLPKQHIFFBB48CA,26,7.21,共有部份,鋼筋混凝土造,76年7月27日,五層,
RPOUMLSJQHIFFBB38CA,32,37.37,住家用,鋼筋混凝土造,70年3月12日,十層,七層
RPOUMLSJQHIFFBB38CA,32,6.91,共有部份,鋼筋混凝土造,70年3月12日,十層,
RPPNMLRKQHIFFBB77CA,5,201.73,住宅、店舖、停車空間,鋼筋混凝土造,97年1月23日,四層,一層 二層 三層 四層 陽台 地下一層
RPPNMLRKQHIFFBB77CA,5,25.97,共有部份,鋼筋混凝土造,97年1月23日,四層,
RPPQMLTKQHIFFBB28CA,1,65.06,住家用,鋼筋混凝土造,101年11月9日,十二層,六層 陽台 雨遮
RPPQMLTKQHIFFBB28CA,1,34.98,本共有部分係依使用執照之建築概要表記載項目有停車空間，樓梯間，梯廳，昇降機間，消防機房，污水處理機房，車道，機械室，水箱，機車停車區，防空避難室兼停車空間，公共服務空間（集會所，大廳，管理室，交誼廳）台電配電室，緊急發電機室，垃圾集中處，沿街步道式開放空間（頂蓋型），門廳，電信室：等１８項,鋼筋混凝土造,101年11月9日,十二層,
