編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLNJKHKGFIB18DA,北柳南段,520.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05060001
RPQNMLRJLHKGFEB08EA,新南埔段,1143.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03500000
RPQNMLRJLHKGFEB08EA,新南埔段,1594.23,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03730000
RPRNMLSJKHKGFEB08DA,幼獅段,77.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04530002
RPPOMLLKKHKGFFB47DA,武秀段,44.00,都市：其他:綠地用地,1,1,全筆移轉,10320018
RPVNMLLKKHKGFKB48DA,龍新段,12.00,都市：其他:保護區,4800,160,持分移轉,06590000
RPQOMLQJKHKGFCB67DA,上石碑段,3.54,都市：其他:第二種住宅區,10000,72,持分移轉,08920000
RPPNMLLJKHKGFAB76DA,下橋子頭段,1.79,都市：其他:第二種住宅區,1000,69,持分移轉,01920084
RPPNMLLJKHKGFAB76DA,下橋子頭段,22.49,都市：其他:第三種住宅區。,1000,69,持分移轉,01930053
RPUNMLNKKHKGFAB57DA,土庫段,79.00,都市：其他:第二種住宅區,1,1,全筆移轉,00730010
RPRNMLQJKHKGFDB77DA,圳寮段,5.41,非都市：山坡地保育區 ; 非都市編定：農牧用地,120000,136,持分移轉,03850000
RPOOMLSJKHKGFBB57DA,文正段,11.50,都市：其他:市場用地,10000,112,持分移轉,00980012
RPTOMLSJKHKGFBB08DA,乾溝子段,8.98,都市：其他:第二種住宅區,20000,107,持分移轉,00930002
RPPNMLNKKHKGFDB47EA,圳寮段,.28,非都市：山坡地保育區 ; 非都市編定：農牧用地,120000,7,持分移轉,03850000
RPTNMLPJKHKGFCB77DA,惠安段,16.87,都市：其他:第四之一種商業區,100000,564,持分移轉,02430000
RPWNMLRJKHKGFAB08DA,樹子腳段,23.13,都市：其他:第三種住宅區。,10000,41,持分移轉,09460000
RPWNMLLKKHKGFIB38DA,德芳段,17.06,都市：其他:住宅區,10000,57,持分移轉,05290000
RPVNMLOKKHKGFBB87DA,東新段,7.14,都市：其他:第二種住宅區,100000,400,持分移轉,01100000
RPTOMLNKKHKGFAB57DA,大智段,.07,都市：其他:第二種住宅區,4000,1,持分移轉,03530000
RPTOMLNKKHKGFAB57DA,大智段,.02,都市：其他:第二種住宅區,4000,1,持分移轉,03620000
RPTOMLNKKHKGFAB57DA,大智段,.02,都市：其他:第二種住宅區,4000,1,持分移轉,03630000
RPTOMLNKKHKGFAB57DA,大智段,.02,都市：其他:第二種住宅區,4000,1,持分移轉,03640000
RPTOMLNKKHKGFAB57DA,大智段,.03,都市：其他:第二種住宅區,4000,1,持分移轉,03650000
RPTOMLNKKHKGFAB57DA,大智段,11.02,都市：其他:第二種住宅區,4000,60,持分移轉,03670000
RPTOMLNKKHKGFAB57DA,大智段,.06,都市：其他:第二種住宅區,4000,1,持分移轉,03770000
RPWOMLMKKHKGFAB77DA,下橋子頭段,5.48,都市：其他:第一種商業區,1000000,2087,持分移轉,01340004
RPWOMLMKKHKGFAB77DA,下橋子頭段,4.51,都市：其他:第二種住宅區,1000000,2087,持分移轉,01360013
RPPNMLMKKHKGFKB08EA,遠東段,115.43,都市：其他:第二種住宅區,40,5,持分移轉,10650001
RPPNMLMKKHKGFKB08EA,遠東段,316.13,都市：其他:第二種住宅區,40000,3355,持分移轉,10680001
RPPNMLMKKHKGFKB08EA,遠東段,14.82,都市：其他:道路用地,40000,3355,持分移轉,10700000
RPQNMLOKKHKGFBB47EA,陳平段,166.00,都市：其他:第三之二種住宅區,1,1,全筆移轉,02280000
RPQNMLMKKHKGFKB18EA,遠東段,92.34,都市：其他:第二種住宅區,40,4,持分移轉,10650001
RPQNMLMKKHKGFKB18EA,遠東段,310.95,都市：其他:第二種住宅區,40000,3300,持分移轉,10680001
RPUOMLOKKHKGFHB48DA,甘潭段,30.00,都市：其他:第一之二種住宅區,6,2,持分移轉,03290000
RPPNMLRKKHKGFAB47DA,麻園頭段,3.77,都市：其他:第二之一種商業區,10000,35,持分移轉,00460000
RPVNMLOKKHKGFEB18DA,致用段,43.38,都市：其他:公園用地,100000,20000,持分移轉,08610000
RPROMLMKKHKGFFB77DA,朝興段,40.18,都市：其他:農業區,96,8,持分移轉,13210000
RPQNMLLKKHKGFGB57DA,大南段大南小段,2608.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01090169
RPVNMLRKKHKGFGB68DA,東勢段石角小段,1350.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,25850000
RPRNMLQJKHKGFHB18DA,上楓段,315.00,都市：其他:道路用地,1,1,全筆移轉,13420001
RPRNMLQJKHKGFHB18DA,上楓段,5.00,都市：其他:第一種住宅區,1,1,全筆移轉,13430002
RPQNMLSKKHKGFBB87EA,錦村段,.54,都市：其他:第三種住宅區。,10000,2,持分移轉,02130085
RPQNMLRKKHKGFIB38DA,峰南段,52.00,都市：其他:商業區,3,2,持分移轉,03730000
RPVNMLNKKHKGFCB87DA,寶文段,42.02,都市：其他:第二種住宅區,100000,2125,持分移轉,00750010
RPRNMLPJKHKGFBB47DA,長安段,100.00,都市：其他:第二種住宅區,1,1,全筆移轉,06850000
RPRNMLPJKHKGFBB47DA,長安段,79.00,都市：其他:第二種住宅區,1,1,全筆移轉,06860000
RPRNMLPJKHKGFBB47DA,長安段,106.00,都市：其他:第二種住宅區,1,1,全筆移轉,06870000
RPRNMLOJKHKGFDB57DA,四月段,1091.90,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09050000
RPQNMLPKKHKGFBB47DA,新賴厝三段,4.73,都市：其他:第一種商業區,1000000,1286,持分移轉,05000000
RPPNMLSKKHKGFGB28EA,仙師段,30.37,都市：其他:住宅區,1,1,全筆移轉,00370001
RPPNMLSKKHKGFGB28EA,仙師段,4.85,都市：其他:住宅區,1,1,全筆移轉,00370002
RPPNMLSKKHKGFGB28EA,仙師段,3.79,都市：其他:住宅區,1,1,全筆移轉,00370003
RPPNMLSKKHKGFGB28EA,仙師段,76.21,都市：其他:住宅區,1,1,全筆移轉,00580001
RPUNMLTKKHKGFEB58DA,松雅段,78.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00480000
RPUNMLMKKHKGFCB67DA,寶山段,10.36,都市：其他:第二種住宅區,100000,653,持分移轉,03640000
RPXQMLRKKHKGFFB09DA,沙工段,2.46,都市：其他:道路用地,240,3,持分移轉,04260000
RPXQMLRKKHKGFFB09DA,沙工段,12.57,都市：其他:道路用地,240,3,持分移轉,04360000
RPXQMLRKKHKGFFB09DA,沙工段,12.68,都市：其他:道路用地,240,3,持分移轉,04670000
RPPNMLRKKHKGFJB48EA,新福段,14.86,都市：其他:住宅區,9594,133,持分移轉,07460000
RPPNMLSKKHKGFJB58EA,番子路段,31.14,都市：其他:住宅區,10000,208,持分移轉,01870000
RPQNMLTKKHKGFAB77DA,下橋子頭段,5.00,都市：其他:第三種住宅區。,1,1,全筆移轉,02220098
SPQNMLTKKHKGFAB87DA,下橋子頭段,6.00,都市：其他:第三種住宅區。,1,1,全筆移轉,02220100
RPOOMLLKKHKGFBB96DA,邱厝子段,4.40,都市：其他:第三種住宅區。,10000,81,持分移轉,00210090
RPSNMLSKKHKGFJB78DA,福利段,710.04,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03670000
RPOOMLQJKHKGFJB18DA,樹孝段,5.65,都市：其他:住宅區,100000,842,持分移轉,16900000
RPRNMLOKKHKGFDB67DA,福庄段,330.64,非都市：特定農業區 ; 非都市編定：農牧用地,9600,466,持分移轉,12030000
RPOOMLQJKHKGFJB18DA,樹孝段,.61,都市：其他:住宅區,100000,842,持分移轉,16940000
RPOOMLQJKHKGFJB18DA,樹孝段,8.79,都市：其他:住宅區,100000,842,持分移轉,17010000
RPOOMLTKKHKGFFB18DA,三田段,22.98,都市：其他:農業區,480,3,持分移轉,03730000
RPQNMLKLKHKGFDB27DA,四月段,243.34,非都市：特定農業區 ; 非都市編定：農牧用地,9816,485,持分移轉,00150000
RPQOMLSKKHKGFCB97DA,豐功段,6.88,都市：其他:第四種商業區,100000,156,持分移轉,02520000
RPWPMLTKKHKGFFB09DA,福興段,123.68,都市：其他:保護區,12,1,持分移轉,03670000
